a	A		sumti or		logical connective: sumti afterthought or
cfila		cfi	flaw		x1 (property - ka) is a flaw/fault/defect in x2 causing x3	(cf. cikre, srera, fenra, fliba, prane)
cfine			wedge		x1 is a wedge [shape/form/tool] of material x2	(cf. tutci)
cfipu		fi'u	confusing		x1 (event/state) confuses/baffles x2 [observer] due to [confusing] property x3 (ka)	(cf. pluja, cfipu, zunti)
ci	PA1	cib	3		digit/number: 3 (digit) [three]
ci'e	BAI		in system		ciste modal, 1st place used in scalar negation    in system/context ...
ci'i	PA5		infinity		digit/number: infinity; followed by digits => aleph cardinality
ci'iroi	ROI*		infinite times		tense interval modifier: occurs infinite times, eternally; objective tense; defaults as time
ci'o	BAI		emotionally felt by		cinmo modal, 1st place                            emotionally felt by ...
ci'u	BAI		on the scale		ckilu modal, 1st place                            on the scale ...
ciblu		blu	blood		x1 is blood/vital fluid of organism x2	(cf. risna, flecu)
cicna			cyan		x1 is cyan/turquoise/greenish-blue [color adjective]	(cf. skari, blabi, xekri, kandi, carmi, crino, blanu)
cidja		dja	food	'feed'	x1 is food/feed/nutriment for x2; x1 is edible/gives nutrition to x2	(cf. citka, nitcu, pinxe, xagji, cpina)
cidni		cid	knee		x1 is a/the knee/elbow/knuckle [hinged joint, body-part] of limb x2 of body x3	[metaphor: a sharp bend/curve] (cf. korcu, jarco, jganu)
cidro		dro	hydrogen		x1 is a quantity of/contains/is made of hydrogen (H); [metaphor: light, flammable]	(cf. gapci, xukmi)
cifnu		cif	infant		x1 is an infant/baby [helpless through youth/incomplete development] of species x2	[also infantile]; (cf. makcu, verba)
cigla		cig	gland		x1 is a/the gland [body-part] secreting x2, of body x3; x2 is a secretion of x1	[secretion (= selcigla)]; (cf. vikmi, xasne)
cikna		cik	awake		(adjective:) x1 is awake/alert/conscious	(cf. sanji, sipna, tatpi)
cikre			repair	'fix'	x1 repairs/mends/fixes x2 for use x3	[a repair may be incomplete, fixing only one of the possible uses of x2, hence x3]; (cf. cfila, spofu)
ciksi		cki	explain		x1 (person) explains x2 (event/state/property) to x3 with explanation x4 (du'u)	[explanation x4 is an underlying mechanism/details/purpose/method for x2 (= velcki for reordered places), generally assumed to be non-obvious; metaphorical usage with the various causal relations (i.e. jalge, mukti, krinu, rinka, nibli, zukte) is possible, but the non-obviousness, and the existence of an explainer with a point of view makes this word not a simple expression of cause]; (cf. cipra, danfu, jalge, jinvi, krinu, mukti, nabmi, preti, rinka, sidbo, zukte, tavla)
cilce		cic	wild		(adjective:) x1 is wild/untamed	[tame (= tolcilce)]; (cf. pinfu, panpi, tarti)
cilmo		cim	moist		x1 is moist/wet/damp with liquid x2	(cf. litki, lunsa, sudga)
cilre		cli	learn		x1 learns x2 (du'u) about subject x3 from source x4 (obj./event) by method x5 (event/process)	(cf. ctuca, tadni, djuno, ckule)
cilta		cil	thread	'filament'	x1 is a thread/filament/wire [shape/form] of material x2	(cf. fenso, nivji, skori, silka)
cimde			dimension		x1 (property - ka) is a dimension of space/object x2 according to rules/model x3	(cf. morna, ckilu, merli, manri)
cimni			infinite		x1 is infinite/unending/eternal in property/dimension x2, to degree x3 (quantity)/of type x3	[also everlasting, eternity, (= cimnytei), eternal (= cimnyteikai or temcimni)] (cf. vitno, renvi, munje, fanmo, sisti)
cinba			kiss	'buss'	x1 (agent) kisses/busses x2 at locus x3	(cf. ctebi)
cindu			oak		x1 is an oak, a type of tree of species/strain x2	(cf. tricu)
cinfo			lion		x1 is a lion/[lioness] of species/breed x2	(cf. mlatu)
cinje		cij	wrinkle		x1 is a wrinkle/crease/fold [shape/form] in x2	(cf. korcu, polje, boxfo, boxna)
cinki			insect		x1 is an insect/arthropod of species x2; [bug/beetle]	(cf. civla, danlu, jalra, jukni, manti, sfani, toldi, bifce)
cinla			thin	'lean'	x1 is thin in direction/dimension x2 by standard x3; [relatively short in smallest dimension]	(cf. rotsu, jarki, tordu, cmalu, caxno, plana, jarki)
cinmo		cni	emotion		x1 feels emotion x2 (ka) about x3	[also mood/humor (= nuncni)]; (cf. cmavo list ci'o, cumla, jilra, nelci, xendo, ckeji, cortu, jgira, kecti, kufra, manci, prami, steba, zungi, badri, burna, gleki)
cinri		ci'i	interesting	'interests'	x1 (abstraction) interests/is interesting to x2; x2 is interested in x1	[use x1 tu'a for non-specific interest in an object; interested in (= selci'i)]; (cf. zdile, kucli, manci, kurji)
cinse		cin	sexual		x1 in activity/state x2 exhibits sexuality/gender/sexual orientation x3 (ka) by standard x4	[also: x1 courts/flirts; x3 could be a ka[gender or role], ka[attraction to a gender], or ka[type of activity], etc.; (adjective:) x1 is sexual/sexy; x1 is flirted with/courted by x2 (= cinfriti, cinjikca)]; (cf. gletu, pinji, plibu, vibna, vlagi)
cinta			paint		x1 [material] is a paint of pigment/active substance x2, in a base of x3	(cf. pixra, skari)
cinza			tongs		x1 is a/are tong(s)/chopsticks/pincers/tweezers/pliers [tool/body-part] for x2 to pinch x3	(cf. tutci)
cipni		cpi	bird		x1 is a bird/avian/fowl of species x2	(cf. datka, gunse, jipci, nalci, pimlu, vofli, xruki, danlu)
cipra		cip	test	'proof'	x1 (process/event) is a test for/proof of property/state x2 in subject x3 (individ./set/mass)	[also examination, proxy measure, validation; (a set in x3 must be completely specified)]; (cf. ciksi, troci, jarco, pajni, saske)
cirko		cri	lose		x1 loses person/thing x2 at/near x3; x1 loses property/feature x2 in conditions/situation x3	[x2 may be a specific object, a commodity (mass), an event (rare for cirko), or a property; pedantically, for objects/commodities, this is sumti-raising from ownership of the object/commodity (= po'ecri, posyselcri for unambiguous semantics)]; (cf. facki, ralte, sisku, claxu, jinga, pleji, canja, sfasa, dapma, binra, mipri)
cirla			cheese		x1 is a quantity of/contains cheese/curd from source x2	(cf. ladru)
ciska		ci'a	write	'scribe'	x1 inscribes/writes x2 on display/storage medium x3 with writing implement x4; x1 is a scribe	[also x3 writing surface]; (cf. papri, penbi, pinsi, tcidu, xatra, pixra, prina, finti for 'author' or specific authorial works, barna, pinka)
cisma			smile		x1 smiles/grins (facial expression)	[smile/grin at something (= cismyfra)]; (cf. xajmi, cmila, frumu)
ciste		ci'e	system		x1 (mass) system interrelated by structure x2 among components x3 (set) displaying x4 (ka)	[x1 (or x3) is synergistic in x4; also network; x2 also relations, rules; x3 also elements (set completely specified); x4 systemic functions/properties] (cf. cmavo list ci'e, cmima, girzu, gunma, stura, tadji, munje, farvi, ganzu, judri, julne, klesi, morna, tcana)
citka		cti	eat		x1 eats/ingests/consumes (transitive verb) x2	(cf. cidja, pinxe, tunlo, xagji, xaksu, batci, gusta, kabri)
citno		cit ci'o	young	'junior'	x1 is young/youthful [relatively short in elapsed duration] by standard x2	[also age (= nilnalci'o); (adjective:) x1 is junior]; (cf. cnino, slabu, verba)
citri		cir	history		x1 is a history of x2 according to x3 (person)/from point-of-view x3	[also historic/historical (= cirtermo'i, cirvai)]; (cf. muzga)
citsi			season		x1 is a season/is seasonal [cyclical interval], defined by interval/property x2, of year(s) x3	[also anniversary (= citsydei, na'arcitsydei), jubilee (= mumnoncitsi); the period of time may be short or long as indicated by x2, and may occur every year or every nth year as indicated by x3 (default every year); (x2 and/or x3 may need metaphorical restriction: djecitsi, pavdeicitsi; also equinox, solstice, time of year]; (cf. cedra, crisa, critu, dunra, ranji, temci, vensa, jbena)
civla		civ	louse		x1 is a louse/flea [blood-sucking arthropod] of species/breed x2, parasitic on x3	(cf. cinki, jalra)
cizra		ciz	strange	'bizarre'	x1 is strange/weird/deviant/bizarre/odd to x2 in property x3 (ka)	[also alien, mysterious, deviant, queer, unusual, exotic]; (cf. ranxi, rirci, fange, banli)
ckabu			rubber		x1 is a quantity of/contains/is made of rubber/latex from source x2 of composition including x3	(cf. pruni)
ckafi		kaf	coffee		x1 is made of/contains/is a quantity of coffee from source/bean/grain x2	[brew based on a seed/bean/grain; e.g. also chicory coffee, decaf, postum] (cf. tcati, brewed from a leaf, barja, cakla)
ckaji		kai	quality		x1 has/is characterized by property/feature/trait/aspect/dimension x2 (ka); x2 is manifest in x1	[manifested/property/quality/trait/feature/aspect (= selkai)]; (cf. cmavo list kai, tcaci, tcini)
ckana		cka	bed		x1 is a bed/pallet of material x2 for holding/supporting x3 (person/object/event)	(cf. kamju, kicne, nilce, palta, cpana, vreta, jubme, stizu, matci, zbepi, palne, sarji)
ckape		cap	peril		x1 is perilous/dangerous/potentially harmful to x2 under conditions x3	[x1 is a danger/peril to x2]; (cf. te bandu, te kajde, te marbi, se snura, se xalni)
ckasu		cas	ridicule	'scoff'	x1 ridicules/mocks/scoffs at x2 about x3 (property/event) by doing activity x4 (event)	(cf. cmila)
ckeji		kej cke	ashamed		x1 feels ashamed/mortified/humiliated under conditions x2 before community/audience x3	(cf. cinmo)
ckiku		kik	key		x1 is a key fitting/releasing/opening/unlocking lock x2, and having relevant properties x3	[also x2 fastener, mechanism; code key (= termifckiku, kiktermifra); x3 is dependent on the type of key, but are those form properties of the key that enable it to serve the function of opening the lock - in the case of a metal key to a padlock, for example, this would be the shaft and teeth]; (cf. stela)
ckilu		ci'u	scale		x1 (si'o) is a scale of units for measuring/observing/determining x2 (state)	(cf. cmavo list ci'u, gradu, merli, cimde, manri)
ckini		ki'i	related	'akin, kin'	x1 is related to/associated with/akin to x2 by relationship x3	(cf. cmavo list ki'i, ponse, srana, steci, mapti, sarxe, fange)
ckire		kir	grateful		x1 is grateful/thankful to/appreciative of x2 for x3 (event/property)	[also gratitude (= nunckire or kamckire)]; (cf. cinmo, friti, pluka)
ckule		kul cu'e	school		x1 is school/institute/academy at x2 teaching subject(s) x3 to audien./commun. x4 operated by x5	[also college, university]; (cf. cilre, ctuca, tadni)
ckunu		ku'u	conifer	'cone'	x1 is a conifer/pine/fir of species/strain x2 with cones x3	(cf. tricu)
cladu		lau	loud		x1 is loud/noisy at observation point x2 by standard x3	(cf. savru)
clani		cla	long		x1 is long in dimension/direction x2 (default longest dimension) by measurement standard x3	(cf. slabu, condi, ganra, rotsu, tordu, barda, ganra, gutci, minli, rotsu)
claxu		cau	without	'lack'	x1 is without/lacking/free of/lacks x2; x1 is x2-less	(cf. cmavo list cau, cirko, kunti, nitcu, pindi, banzu)
clika			mossy		x1 is a moss/lichen of species/strain x2 growing on x3; (adjective:) x1 is mossy	(cf. mledi)
clira		lir	early		x1 (event) is early by standard x2	(cf. lerci)
clite		lit	polite		x1 is polite/courteous/civil in matter x2 according to standard/custom x3	[also formal, ritual]; (cf. ritli)
cliva		liv li'a	leave		x1 leaves/goes away/departs/parts/separates from x2 via route x3	[also: x1 leaves behind/takes leave of x2]; (cf. litru. canci, vimcu, lebna, litru, muvdu)
clupa		cup	loop		x1 is a loop/circuit of x2 [material]	[also noose (= skoclupa, saljgeclupa; there is no indication of shape, but merely that the ends join/meet); closed curve defined by set of points (= cuptai)]; (cf. djine)
cmaci			mathematics		x1 is a mathematics of type/describing x2	(cf. mekso)
cmalu		cma	small		x1 is small in property/dimension(s) x2 (ka) as compared with standard/norm x3	(cf. caxno, cinla, jarki, tordu, barda)
cmana		ma'a	mountain		x1 is a mountain/hill/mound/[rise]/[peak]/[summit]/[highlands] projecting from land mass x2	(cf. punli, derxi)
cmavo		ma'o	structure word		x1 is a structure word of grammatical class x2, with meaning/function x3 in usage (language) x4	[x4 may be a specific usage (with an embedded language place) or a massified language description; x3 and x4 may be merely an example of cmavo usage or refer to an actual expression; cmavo list, if physical object (= (loi) ma'oste); referring to the mental construct (e.g. propose adding a new cmavo to the cmavo list = ma'orpoi, ma'orselcmi, ma'orselste)]; (cf. gismu, lujvo, gerna, smuni, valsi)
cmene		cme me'e	name		x1 (quoted word(s)) is a/the name/title/tag of x2 to/used-by namer/name-user x3 (person)	[also: x2 is called x1 by x3 (= selcme for reordered places)]; (cf. cmavo list me'e, gismu, tcita, valsi, judri)
cmila		mi'a	laugh	'smile'	x1 laughs (emotional expression)	[x1 laughs at x2 (= mi'afra)]; (cf. ckasu, frumu, xajmi, cisma)
cmima		mim cmi	member		x1 is a member/element of set x2; x1 belongs to group x2; x1 is amid/among/amongst group x2	[x1 may be a complete or incomplete list of members; x2 is normally marked by la'i/le'i/lo'i, defining the set in terms of its common property(ies), though it may be a complete enumeration of the membership]; (cf. ciste, porsi, jbini, girzu, gunma, klesi, cmavo list mei, kampu, lanzu, liste)
cmoni		cmo co'i	moan		x1 utters moan/groan/howl/scream [non-linguistic utterance] x2 expressing x3 (property)	[also shriek, most animal sounds, e.g. bark, cackle, meow, neigh, moo, honk, baa, crow] (cf. krixa, bacru, cusku, cortu)
cnano		na'o	norm		x1 [value] is a norm/average in property/amount x2 (ka/ni) among x3(s) (set) by standard x4	[also mean, normal, usual; (x3 specifies the complete set)]; (cf. tcaci, fadni, kampu, lakne, tarti, rirci)
cnebo		neb ne'o	neck		x1 is a/the neck [body-part] of x2; [metaphor: a relatively narrow point]	(cf. galxe, cutne)
cnemu		nem ne'u	reward		x1 (agent) rewards x2 [recipient] for atypical x3 (event/property) with reward/desserts x4	[differs from earned payment because of atypical nature; rewards need not be positive but are in some sense deserved from the point of view of the rewarder: positive reward (= zanyne'u), punishment, penalty, demerit (= malne'u, sfane'u); x4 may be a specific object, a commodity (mass), an event, or a property; pedantically, for objects/commodities, this is sumti-raising from ownership of the object/commodity (= posne'u, posyvelne'u for unambiguous semantics)]; (cf. dunda, friti, jerna, jinga, jivna, pleji, sfasa, venfu, prali, dapma)
cnici		nic	orderly	'neat'	x1 is orderly/neat/ordered in property/quantity x2 (ka/ni)	(cf. cunso, kalsa)
cnino		nin ni'o	new		x1 is new/unfamiliar/novel to observer x2 in feature x3 (ka) by standard x4; x1 is a novelty	(cf. nuzba, slabu, citno, se djuno)
cnisa		nis	lead		x1 is a quantity of/contains/is made of lead (Pb); [metaphor: heavy, malleable, soft metal]	(cf. jinme, tinci)
cnita		nit ni'a	beneath		x1 is directly/vertically beneath/below/under/underneath/down from x2 in frame of reference x3	[also underside, nether]; (cf. dizlo, gapru, galtu, farna, loldi)
co	CO	col	tanru inversion		tanru inversion operator; "... of type ..."; allows modifier trailing sumti without sumti links
